text_features,speeding,signal_violation,careless_driving,distracted,wrong_lane,drink_drive,LATITUDE,LONGITUDE
traffic control disregarded unspecified,0,1,0,0,0,0,40.804585,-73.94782
following too closely unspecified,0,0,1,0,0,0,40.832916,-73.92939
unspecified,0,0,0,0,0,0,40.722515,-73.73332
failure to yield right-of-way unsafe speed,0,1,0,0,0,0,40.692127,-73.83484
traffic control disregarded unspecified,0,1,0,0,0,0,40.807537,-73.8798
other vehicular,0,0,0,0,0,0,40.878128,-73.86944
driver inattention/distraction unspecified,0,0,0,1,0,0,40.75777,-73.854164
unspecified unspecified,0,0,0,0,0,0,40.6569,-73.907486
driver inattention/distraction unspecified,0,0,0,1,0,0,40.845024,-73.92632
unspecified unspecified,0,0,0,0,0,0,40.817795,-73.89319
driver inexperience unspecified,0,0,0,0,0,0,40.81915,-73.93062
backing unsafely unspecified,0,0,0,0,0,0,40.591778,-74.12734
following too closely unspecified,0,0,1,0,0,0,40.753994,-73.94244
passing or lane usage improper other vehicular,0,0,0,0,0,0,40.724846,-73.999
other vehicular other vehicular,0,0,0,0,0,0,40.822933,-73.93813
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.680477,-73.951164
backing unsafely unspecified,0,0,0,0,0,0,40.648243,-73.929
driver inattention/distraction,0,0,0,1,0,0,40.64366,-73.90067
passing too closely unspecified,0,0,1,0,0,0,40.6843,-73.94121
lost consciousness unspecified,0,0,0,0,0,0,40.602425,-74.091354
driver inattention/distraction driver inattention/distraction unspecified,0,0,0,1,0,0,40.662037,-73.95077
following too closely unspecified,0,0,1,0,0,0,40.68164,-73.98568
backing unsafely,0,0,0,0,0,0,40.781315,-73.94614
unspecified,0,0,0,0,0,0,40.74498,-73.89325
driver inattention/distraction unspecified,0,0,0,1,0,0,40.6117,-74.13918
unsafe speed passing or lane usage improper,0,0,0,0,0,0,40.616295,-73.92991
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.78322,-73.84586
driver inattention/distraction unspecified,0,0,0,1,0,0,40.87122,-73.83709
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.680077,-73.852684
driver inattention/distraction unspecified,0,0,0,1,0,0,40.843384,-73.88987
passing too closely unspecified unspecified,0,0,1,0,0,0,40.680023,-73.794624
obstruction/debris,0,0,0,0,0,0,40.72937,-73.955444
driver inexperience,0,0,0,0,0,0,40.683754,-73.88565
turning improperly unspecified unspecified,0,0,0,0,0,0,40.70413,-73.76984
unspecified,0,0,0,0,0,0,40.609985,-73.96239
view obstructed/limited,0,0,0,0,0,0,40.673676,-73.86576
unspecified unspecified,0,0,0,0,0,0,40.751442,-73.97606
unspecified unspecified,0,0,0,0,0,0,40.86514,-73.801544
passing or lane usage improper unspecified,0,0,0,0,0,0,40.72218,-73.84406
unspecified,0,0,0,0,0,0,40.797924,-73.9296
driver inattention/distraction driver inattention/distraction unspecified,0,0,0,1,0,0,40.626373,-73.99754
lost consciousness unspecified unspecified,0,0,0,0,0,0,40.883133,-73.882095
aggressive driving/road rage unspecified,0,0,0,0,0,0,40.90222,-73.85589
backing unsafely unspecified,0,0,0,0,0,0,40.72717,-73.78739
unspecified unspecified,0,0,0,0,0,0,40.600792,-73.76711
unsafe lane changing unspecified,0,0,1,0,0,0,40.84434,-73.91475
unspecified,0,0,0,0,0,0,40.67922,-73.90405
driver inattention/distraction unspecified,0,0,0,1,0,0,40.802982,-73.93815
driver inattention/distraction,0,0,0,1,0,0,40.731544,-73.955315
unsafe speed,0,0,0,0,0,0,40.683323,-73.80648
alcohol involvement unspecified,0,0,0,0,0,1,40.732006,-73.95795
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.6544,-73.92044
unsafe speed unspecified,0,0,0,0,0,0,40.589592,-73.786385
traffic control disregarded other vehicular,0,1,0,0,0,0,40.736164,-73.97891
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.59723,-73.76237
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.67393,-73.999954
unsafe speed unspecified,0,0,0,0,0,0,40.840153,-73.88572
unspecified,0,0,0,0,0,0,40.599503,-74.067116
unspecified,0,0,0,0,0,0,40.822456,-73.868065
driver inattention/distraction unspecified,0,0,0,1,0,0,40.59841,-73.97592
passing too closely unspecified,0,0,1,0,0,0,40.697083,-73.85476
turning improperly unspecified unspecified,0,0,0,0,0,0,40.896385,-73.87246
unsafe speed,0,0,0,0,0,0,40.695637,-73.80372
passing too closely unspecified,0,0,1,0,0,0,40.69982,-73.996254
passing or lane usage improper unspecified,0,0,0,0,0,0,40.590313,-74.09794
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.787544,-73.82394
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.67539,-73.88113
driver inattention/distraction unspecified,0,0,0,1,0,0,40.634007,-74.07516
backing unsafely unspecified,0,0,0,0,0,0,40.73844,-73.88628
driver inattention/distraction unspecified,0,0,0,1,0,0,40.60855,-74.13216
driver inattention/distraction unspecified,0,0,0,1,0,0,40.58573,-74.16865
unspecified unspecified,0,0,0,0,0,0,40.599907,-73.94664
driver inexperience unspecified,0,0,0,0,0,0,40.806713,-73.93782
driver inattention/distraction unspecified,0,0,0,1,0,0,40.748318,-73.87742
other vehicular unspecified,0,0,0,0,0,0,40.68651,-73.76815
passing or lane usage improper unspecified,0,0,0,0,0,0,40.624203,-74.177124
driver inattention/distraction unspecified,0,0,0,1,0,0,40.744526,-73.77161
driver inattention/distraction,0,0,0,1,0,0,40.576965,-74.16974
following too closely unspecified,0,0,1,0,0,0,40.8502,-73.8302
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.715477,-73.998085
unspecified unspecified,0,0,0,0,0,0,40.611477,-73.94883
passing or lane usage improper unspecified,0,0,0,0,0,0,40.681515,-73.90412
driver inattention/distraction unspecified,0,0,0,1,0,0,40.61578,-73.99995
driver inattention/distraction,0,0,0,1,0,0,40.82207,-73.94993
unspecified,0,0,0,0,0,0,40.74606,-73.85583
unspecified,0,0,0,0,0,0,40.72013,-73.79038
driver inattention/distraction unspecified,0,0,0,1,0,0,40.688435,-73.78765
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.84964,-73.89661
driver inexperience unspecified,0,0,0,0,0,0,40.68329,-73.85491
driver inexperience,0,0,0,0,0,0,40.812912,-73.95364
passing or lane usage improper unspecified,0,0,0,0,0,0,40.6639,-73.7804
driver inexperience,0,0,0,0,0,0,40.59312,-73.772705
following too closely unspecified,0,0,1,0,0,0,40.596687,-73.74422
unsafe lane changing unspecified,0,0,1,0,0,0,40.673107,-73.99959
tinted windows,0,0,0,0,0,0,40.63874,-73.8952
driver inattention/distraction unspecified,0,0,0,1,0,0,40.675255,-73.73207
passing too closely unspecified,0,0,1,0,0,0,40.846313,-73.92385
driver inattention/distraction,0,0,0,1,0,0,40.608364,-73.95727
driver inattention/distraction unspecified,0,0,0,1,0,0,40.682724,-73.88539
aggressive driving/road rage aggressive driving/road rage unspecified,0,0,0,0,0,0,40.80789,-73.852844
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.607754,-74.13205
following too closely unspecified,0,0,1,0,0,0,40.708324,-73.84314
unspecified unspecified unspecified,0,0,0,0,0,0,40.79194,-73.95281
driver inattention/distraction unspecified,0,0,0,1,0,0,40.718792,-73.98902
driver inattention/distraction unspecified,0,0,0,1,0,0,40.86463,-73.892136
fell asleep unspecified unspecified,0,0,0,0,0,0,40.67856,-73.889015
passing too closely unspecified,0,0,1,0,0,0,40.721474,-73.98383
unspecified,0,0,0,0,0,0,40.79184,-73.93556
passing or lane usage improper unspecified,0,0,0,0,0,0,40.78076,-73.825424
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.7359,-73.91338
unspecified unspecified,0,0,0,0,0,0,40.710697,-73.984634
following too closely unspecified,0,0,1,0,0,0,40.760777,-73.95702
unspecified,0,0,0,0,0,0,40.81358,-73.89385
passing or lane usage improper turning improperly,0,0,0,0,1,0,40.575302,-73.98453
driver inattention/distraction unspecified,0,0,0,1,0,0,40.66843,-73.91919
unspecified unspecified,0,0,0,0,0,0,40.81701,-73.9595
backing unsafely unspecified,0,0,0,0,0,0,40.85755,-73.882835
